,feature,importance
0,USD_goal,0.14959027614750023
4,time_elapsed,0.12569700186428215
3,len_name,0.10564266579066746
2,len_blurb,0.09969198143783457
1,staff_pick,0.05795642539637991
196,none,0.01776695538710671
139,product design,0.01507987610094485
26,us,0.013336244951522086
29,accessories,0.011209844754393614
192,food,0.010668615169892103
96,illustration,0.010080649924368431
66,documentary,0.009967000803211537
57,country & folk,0.009400729547538286
155,shorts,0.009329963571594416
46,children's books,0.009294894774569705
52,comic books,0.009230769914630229
14,gb,0.009089411358441605
81,fiction,0.008699659299965789
121,nonfiction,0.008640264435031754
98,indie rock,0.008140045774569884
177,web,0.007521450735830227
163,tabletop games,0.007253229416796234
114,mobile games,0.006884551212619041
199,technology,0.006452906640065335
174,video games,0.006238223691819623
119,narrative film,0.005947884756207443
34,apparel,0.005915493739237301
8,ca,0.005638776096933422
191,film & video,0.004956881157047241
195,music,0.004889172572145186
194,journalism,0.004710184942978907
185,art,0.0042553902826977085
198,publishing,0.003965514333704799
193,games,0.003908526692862591
186,comics,0.0038513778065729634
6,au,0.003845633533950065
187,crafts,0.003812507723280403
158,software,0.0036816874433277273
86,food trucks,0.003667649988263051
200,theater,0.003562597842694158
94,hip-hop,0.0035161421121777626
10,de,0.0035016299248897386
20,mx,0.003489228543244872
189,design,0.0034833471835617282
179,webseries,0.003423720530136205
190,fashion,0.0032257873637365412
51,comedy,0.0031736594050476305
140,public art,0.0031454692586264004
88,gadgets,0.003017137232700153
69,electronic music,0.002907867119424547
17,it,0.0028749685766607564
35,apps,0.0027801238605740498
197,photography,0.0026981769948925443
38,art books,0.002658916374683453
32,animation,0.002636560141463799
135,pop,0.002624296517700452
50,classical music,0.0026201380866742066
93,hardware,0.0025860062365595277
13,fr,0.002549001379634348
12,es,0.0024183759441722893
132,playing cards,0.0024093229690991275
67,drama,0.002269874168127717
78,farms,0.0022556194532738654
28,academic,0.0022546778273927663
102,jewelry,0.002224652267229785
165,television,0.0022156694526119917
129,photobooks,0.0022114544678792825
91,graphic design,0.002130530703828163
134,poetry,0.002121454593737792
113,mixed media,0.0021155432601955805
110,live games,0.0021082471320936036
63,digital art,0.002094258842844408
124,performance art,0.0020940009947056437
154,sculpture,0.002002839098724819
95,horror,0.0019103044933518947
133,plays,0.001888657765165776
156,small batch,0.0018247931576606342
21,nl,0.0018069408863160524
24,se,0.001779495304635901
61,dance,0.0017584939832634805
68,drinks,0.0017477359128680206
72,experimental,0.0017003853959616354
103,journalism,0.0016876000212685848
101,jazz,0.0016425736998882839
92,graphic novels,0.0016417179406334052
131,places,0.0015978272587337747
71,events,0.0015955723011999835
149,restaurants,0.0015742284565536256
188,dance,0.001543502288757957
74,faith,0.0015175732168731988
64,diy,0.0015143429141006963
168,thrillers,0.0015077725191830077
175,wearables,0.0015076325771526738
123,people,0.0015059573012528595
117,music videos,0.0015000512807290874
55,conceptual art,0.0014851075609820324
33,anthologies,0.001474524462725305
15,hk,0.001474501911263141
112,metal,0.001446110389817437
80,festivals,0.0014393341347044132
83,fine art,0.0014314763928029025
126,periodicals,0.0014278777518281882
161,spaces,0.0014167415658984746
178,webcomics,0.0014065970944875507
146,radio & podcasts,0.0013856615815537629
125,performances,0.0013814766124631897
183,young adult,0.0013660767471835142
87,footwear,0.001359936041010799
171,vegan,0.001304011444159149
16,ie,0.001270972909204033
27,3d printing,0.0012669354488442466
118,musical,0.0012646659207838876
30,action,0.0012642187943461482
47,childrenswear,0.0012534130321511777
11,dk,0.001223901634318784
159,sound,0.0011912085628130007
153,science fiction,0.0011715779618338101
120,nature,0.0011421747523545221
184,zines,0.001139808228562652
59,crafts,0.0011201609485476957
137,print,0.001100233446818004
65,diy electronics,0.0010807730814810222
56,cookbooks,0.0010691838454939709
180,woodworking,0.0010449538158536112
18,jp,0.0010357238168324809
145,r&b,0.001031406224144499
75,family,0.0010304987422003124
23,nz,0.0009558018803886326
166,textiles,0.0009441331002011578
150,robots,0.0009407978549994348
115,movie theaters,0.0009348324814133211
99,installations,0.0009179389933165388
89,gaming hardware,0.0009135925124051849
142,punk,0.0008710775441158808
25,sg,0.0008503033309997834
44,candles,0.0008453740167984154
100,interactive design,0.0008063237579235111
37,art,0.000800575406112125
127,pet fashion,0.0007908577737574844
7,be,0.0007724553175353383
36,architecture,0.0007527498179028478
76,fantasy,0.0007495814207422248
39,audio,0.0007334182327040556
73,fabrication tools,0.0007302299635304889
162,stationery,0.0007253692252563131
181,workshops,0.0007238822943141848
9,ch,0.0007135466387504613
160,space exploration,0.0006998218617561494
172,video,0.0006893995729259779
58,couture,0.0006668769964900105
5,at,0.0006668503292226473
45,ceramics,0.0006566287310836167
42,calendars,0.0006445745501703761
84,flight,0.0006294734049556907
77,farmer's markets,0.0006182369690091334
31,animals,0.0006004171685305827
109,literary spaces,0.0005858535058541313
111,makerspaces,0.0005709480003687564
54,community gardens,0.0005659803213572992
106,latin,0.0005418794503677109
97,immersive,0.000524611716993128
173,video art,0.0005241058615553821
43,camera equipment,0.000521091752327965
116,music,0.0005176539316562604
152,romance,0.0005109285987253746
143,puzzles,0.0004906683339671646
22,no,0.00047852069669436124
41,blues,0.00045699975735923217
85,food,0.00041397091809562757
104,kids,0.0004128991364288874
49,civic design,0.0003988277091530009
128,photo,0.0003842179480715565
60,crochet,0.0003751997381801048
90,glass,0.0003741432091456433
136,pottery,0.00037050777431030387
108,literary journals,0.0003367798882538587
176,weaving,0.0003011502240963716
144,quilts,0.000298742298051496
164,technology,0.0002982556313871178
151,rock,0.0002970280195009054
70,embroidery,0.00029540822086085124
105,knitting,0.00028956874547187935
167,theater,0.00025457248035390666
138,printing,0.00023082671862768392
169,translations,0.00022856968664185633
40,bacon,0.0002186462669286172
130,photography,0.0001552214405975937
19,lu,0.0001297015563584488
122,painting,0.000124929812827764
82,film & video,0.00012170775130917964
